"level","levelTitle","anchor","anchorName","slotId","variantId","isClock","hour","minute","prompt","answer","choices","answerMode","presentation","family","category","broadClassification","operation","tableOrDivisor","hintMinnie","hintMoose","explanation","qualityFlags"
"LVL-0023","Umbrie","valveWheel","Ventiel","valve-wheel-slot-2","valve-wheel-2b","false","","","Bij de ventieldraaien liggen 5 rijen met 3 delen. Hoeveel delen zijn dat samen?","15","10; 15; 20; 25","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","5","Zoek 5 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","5 × 3 = 15.",""
"LVL-0023","Umbrie","valveWheel","Ventiel","valve-wheel-slot-3","valve-wheel-3a","false","","","Leonardo tekent 10 vakken met 9 lijnen per vak. Hoeveel lijnen tekent hij?","90","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","10","Zoek 10 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","10 × 9 = 90.",""
"LVL-0023","Umbrie","valveWheel","Ventiel","valve-wheel-slot-3","valve-wheel-3b","false","","","18 : 9 = ?","2","","open","bare","bare_division","Bare division, open answer","division","multiplication","9","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","18 : 9 = 2, want 9 × 2 = 18.",""
"LVL-0023","Umbrie","valveWheel","Ventiel","valve-wheel-slot-4","valve-wheel-4a","false","","","6 × 8 = ?","48","42; 48; 54; 60","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","6","Denk aan de tafel van 6.","Splits de keersom in twee makkelijke stukken.","6 × 8 = 48.",""
"LVL-0023","Umbrie","valveWheel","Ventiel","valve-wheel-slot-4","valve-wheel-4b","false","","","7 × 9 = ?","63","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","7","Denk aan de tafel van 7.","Splits de keersom in twee makkelijke stukken.","7 × 9 = 63.",""
"LVL-0023","Umbrie","lockChambers","Sluiskamers","lock-chambers-slot-1","lock-chambers-1a","false","","","42 : 6 = ?","7","6; 7; 8; 9","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","6","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","42 : 6 = 7, want 6 × 7 = 42.",""
"LVL-0023","Umbrie","lockChambers","Sluiskamers","lock-chambers-slot-1","lock-chambers-1b","false","","","Sven legt bij de boten 6 stapels met 6 kleine onderdelen. Hoeveel onderdelen liggen er samen?","36","30; 36; 42; 48","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","6","Zoek 6 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","6 × 6 = 36.",""
"LVL-0023","Umbrie","lockChambers","Sluiskamers","lock-chambers-slot-2","lock-chambers-2a","false","","","Op de boten staan 7 groepjes van 8. Hoeveel zijn dat samen?","56","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","7","Zoek 7 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","7 × 8 = 56.",""
"LVL-0023","Umbrie","lockChambers","Sluiskamers","lock-chambers-slot-2","lock-chambers-2b","false","","","8 × 2 = ?","16","8; 16; 24; 32","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","8","Denk aan de tafel van 8.","Splits de keersom in twee makkelijke stukken.","8 × 2 = 16.",""
"LVL-0023","Umbrie","lockChambers","Sluiskamers","lock-chambers-slot-3","lock-chambers-3a","false","","","9 × 3 = ?","27","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","9","Denk aan de tafel van 9.","Splits de keersom in twee makkelijke stukken.","9 × 3 = 27.",""
"LVL-0023","Umbrie","lockChambers","Sluiskamers","lock-chambers-slot-3","lock-chambers-3b","false","","","63 : 7 = ?","9","8; 9; 10; 11","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","7","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","63 : 7 = 9, want 7 × 9 = 63.",""
"LVL-0023","Umbrie","lockChambers","Sluiskamers","lock-chambers-slot-4","lock-chambers-4a","false","","","Bij de boten liggen 8 rijen met 10 delen. Hoeveel delen zijn dat samen?","80","72; 80; 88; 96","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","8","Zoek 8 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","8 × 10 = 80.",""
"LVL-0023","Umbrie","lockChambers","Sluiskamers","lock-chambers-slot-4","lock-chambers-4b","false","","","Leonardo tekent 9 vakken met 3 lijnen per vak. Hoeveel lijnen tekent hij?","27","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","9","Zoek 9 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","9 × 3 = 27.",""
"LVL-0023","Umbrie","paddleWheel","Waterrad","paddle-wheel-slot-1","paddle-wheel-1a","false","","","2 × 9 = ?","18","16; 18; 20; 22","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","2","Denk aan de tafel van 2.","Splits de keersom in twee makkelijke stukken.","2 × 9 = 18.",""
"LVL-0023","Umbrie","paddleWheel","Waterrad","paddle-wheel-slot-1","paddle-wheel-1b","false","","","10 × 10 = ?","100","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","10","Denk aan de tafel van 10.","Splits de keersom in twee makkelijke stukken.","10 × 10 = 100.",""
"LVL-0023","Umbrie","paddleWheel","Waterrad","paddle-wheel-slot-2","paddle-wheel-2a","false","","","32 : 8 = ?","4","3; 4; 5; 6","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","8","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","32 : 8 = 4, want 8 × 4 = 32.",""
"LVL-0023","Umbrie","paddleWheel","Waterrad","paddle-wheel-slot-2","paddle-wheel-2b","false","","","Sven legt bij de schoepen 2 stapels met 6 kleine onderdelen. Hoeveel onderdelen liggen er samen?","12","10; 12; 14; 16","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","2","Zoek 2 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","2 × 6 = 12.",""
"LVL-0023","Umbrie","paddleWheel","Waterrad","paddle-wheel-slot-3","paddle-wheel-3a","false","","","Op de schoepen staan 3 groepjes van 8. Hoeveel zijn dat samen?","24","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","3","Zoek 3 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","3 × 8 = 24.",""
"LVL-0023","Umbrie","paddleWheel","Waterrad","paddle-wheel-slot-3","paddle-wheel-3b","false","","","3 × 12 = ?","36","33; 36; 39; 42","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","3","Denk aan de tafel van 3.","Splits de keersom in twee makkelijke stukken.","3 × 12 = 36.",""
"LVL-0023","Umbrie","paddleWheel","Waterrad","paddle-wheel-slot-4","paddle-wheel-4a","false","","","4 × 12 = ?","48","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","4","Denk aan de tafel van 4.","Splits de keersom in twee makkelijke stukken.","4 × 12 = 48.",""
"LVL-0023","Umbrie","paddleWheel","Waterrad","paddle-wheel-slot-4","paddle-wheel-4b","false","","","72 : 9 = ?","8","7; 8; 9; 10","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","9","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","72 : 9 = 8, want 9 × 8 = 72.",""
"LVL-0023","Umbrie","waterClock","Waterklok","water-clock-slot-1","water-clock-1a","true","2","0","Hoe laat is het?","Twee uur","Twee uur; Drie uur; Kwart over twee; Half drie","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Twee uur.",""
"LVL-0023","Umbrie","waterClock","Waterklok","water-clock-slot-1","water-clock-1b","true","4","15","Welke tijd staat op de klok?","Kwart over vier","Kwart over vier; Kwart over vijf; Half vijf; Kwart voor vijf","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Kwart over vier.",""
"LVL-0023","Umbrie","waterClock","Waterklok","water-clock-slot-2","water-clock-2a","true","6","30","Hoe laat is het?","Half zeven","Half zeven; Half acht; Kwart voor zeven; Zes uur","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Half zeven.",""
"LVL-0023","Umbrie","waterClock","Waterklok","water-clock-slot-2","water-clock-2b","true","8","45","Welke tijd staat op de klok?","Kwart voor negen","Kwart voor negen; Kwart voor tien; Acht uur; Kwart over acht","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Kwart voor negen.",""
"LVL-0023","Umbrie","waterClock","Waterklok","water-clock-slot-3","water-clock-3a","true","10","5","Hoe laat is het?","Vijf over tien","Vijf over tien; Vijf over elf; Tien voor half elf; Vijf over half elf","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Vijf over tien.",""
"LVL-0023","Umbrie","waterClock","Waterklok","water-clock-slot-3","water-clock-3b","true","12","20","Welke tijd staat op de klok?","Tien voor half een","Tien voor half een; Tien voor half twee; Vijf over half een; Tien voor een","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Tien voor half een.",""
"LVL-0023","Umbrie","waterClock","Waterklok","water-clock-slot-4","water-clock-4a","true","3","35","Hoe laat is het?","Vijf over half vier","Vijf over half vier; Vijf over half vijf; Tien voor vier; Vijf over drie","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Vijf over half vier.",""
"LVL-0023","Umbrie","waterClock","Waterklok","water-clock-slot-4","water-clock-4b","true","5","50","Welke tijd staat op de klok?","Tien voor zes","Tien voor zes; Tien voor zeven; Vijf over vijf; Tien voor half zes","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Tien voor zes.",""
"LVL-0024","Marche","wingRack","Vleugelmeetrek","wing-rack-slot-1","wing-rack-1a","false","","","Bij de ribben liggen 4 rijen met 10 delen. Hoeveel delen zijn dat samen?","40","36; 40; 44; 48","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","4","Zoek 4 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","4 × 10 = 40.",""
"LVL-0024","Marche","wingRack","Vleugelmeetrek","wing-rack-slot-1","wing-rack-1b","false","","","Leonardo tekent 5 vakken met 3 lijnen per vak. Hoeveel lijnen tekent hij?","15","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","5","Zoek 5 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","5 × 3 = 15.",""
"LVL-0024","Marche","wingRack","Vleugelmeetrek","wing-rack-slot-2","wing-rack-2a","false","","","5 × 13 = ?","65","60; 65; 70; 75","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","5","Denk aan de tafel van 5.","Splits de keersom in twee makkelijke stukken.","5 × 13 = 65.",""
"LVL-0024","Marche","wingRack","Vleugelmeetrek","wing-rack-slot-2","wing-rack-2b","false","","","6 × 2 = ?","12","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","6","Denk aan de tafel van 6.","Splits de keersom in twee makkelijke stukken.","6 × 2 = 12.",""
"LVL-0024","Marche","wingRack","Vleugelmeetrek","wing-rack-slot-3","wing-rack-3a","false","","","30 : 6 = ?","5","4; 5; 6; 7","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","6","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","30 : 6 = 5, want 6 × 5 = 30.",""
"LVL-0024","Marche","wingRack","Vleugelmeetrek","wing-rack-slot-3","wing-rack-3b","false","","","Sven legt bij de ribben 6 stapels met 5 kleine onderdelen. Hoeveel onderdelen liggen er samen?","30","24; 30; 36; 42","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","6","Zoek 6 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","6 × 5 = 30.",""
"LVL-0024","Marche","wingRack","Vleugelmeetrek","wing-rack-slot-4","wing-rack-4a","false","","","Op de ribben staan 7 groepjes van 7. Hoeveel zijn dat samen?","49","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","7","Zoek 7 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","7 × 7 = 49.",""
"LVL-0024","Marche","wingRack","Vleugelmeetrek","wing-rack-slot-4","wing-rack-4b","false","","","7 × 4 = ?","28","21; 28; 35; 42","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","7","Denk aan de tafel van 7.","Splits de keersom in twee makkelijke stukken.","7 × 4 = 28.",""
"LVL-0024","Marche","counterweights","Tegengewichten","counterweights-slot-1","counterweights-1a","false","","","8 × 8 = ?","64","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","8","Denk aan de tafel van 8.","Splits de keersom in twee makkelijke stukken.","8 × 8 = 64.",""
"LVL-0024","Marche","counterweights","Tegengewichten","counterweights-slot-1","counterweights-1b","false","","","49 : 7 = ?","7","6; 7; 8; 9","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","7","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","49 : 7 = 7, want 7 × 7 = 49.",""
"LVL-0024","Marche","counterweights","Tegengewichten","counterweights-slot-2","counterweights-2a","false","","","Bij de gewichten liggen 8 rijen met 9 delen. Hoeveel delen zijn dat samen?","72","64; 72; 80; 88","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","8","Zoek 8 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","8 × 9 = 72.",""
"LVL-0024","Marche","counterweights","Tegengewichten","counterweights-slot-2","counterweights-2b","false","","","Leonardo tekent 9 vakken met 2 lijnen per vak. Hoeveel lijnen tekent hij?","18","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","9","Zoek 9 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","9 × 2 = 18.",""
"LVL-0024","Marche","counterweights","Tegengewichten","counterweights-slot-3","counterweights-3a","false","","","9 × 10 = ?","90","81; 90; 99; 108","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","9","Denk aan de tafel van 9.","Splits de keersom in twee makkelijke stukken.","9 × 10 = 90.",""
"LVL-0024","Marche","counterweights","Tegengewichten","counterweights-slot-3","counterweights-3b","false","","","2 × 11 = ?","22","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","2","Denk aan de tafel van 2.","Splits de keersom in twee makkelijke stukken.","2 × 11 = 22.",""
"LVL-0024","Marche","counterweights","Tegengewichten","counterweights-slot-4","counterweights-4a","false","","","64 : 8 = ?","8","7; 8; 9; 10","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","8","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","64 : 8 = 8, want 8 × 8 = 64.",""
"LVL-0024","Marche","counterweights","Tegengewichten","counterweights-slot-4","counterweights-4b","false","","","Sven legt bij de gewichten 6 stapels met 9 kleine onderdelen. Hoeveel onderdelen liggen er samen?","54","48; 54; 60; 66","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","6","Zoek 6 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","6 × 9 = 54.",""
"LVL-0024","Marche","flightControls","Testbediening","flight-controls-slot-1","flight-controls-1a","true","1","10","Hoe laat is het?","Tien over een","Tien over een; Tien over twee; Vijf voor half twee; Tien over half twee","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Tien over een.",""
"LVL-0024","Marche","flightControls","Testbediening","flight-controls-slot-1","flight-controls-1b","true","7","25","Welke tijd staat op de klok?","Vijf voor half acht","Vijf voor half acht; Vijf voor half negen; Tien over half acht; Vijf voor acht","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Vijf voor half acht.",""
"LVL-0024","Marche","flightControls","Testbediening","flight-controls-slot-2","flight-controls-2a","true","9","40","Hoe laat is het?","Tien over half tien","Tien over half tien; Tien over half elf; Vijf voor tien; Tien over negen","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Tien over half tien.",""
"LVL-0024","Marche","flightControls","Testbediening","flight-controls-slot-2","flight-controls-2b","true","11","55","Welke tijd staat op de klok?","Vijf voor twaalf","Vijf voor twaalf; Vijf voor een; Tien over elf; Vijf voor half twaalf","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Vijf voor twaalf.",""
"LVL-0024","Marche","flightControls","Testbediening","flight-controls-slot-3","flight-controls-3a","true","3","0","Hoe laat is het?","Drie uur","Drie uur; Vier uur; Kwart over drie; Half vier","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Drie uur.",""
"LVL-0024","Marche","flightControls","Testbediening","flight-controls-slot-3","flight-controls-3b","true","5","15","Welke tijd staat op de klok?","Kwart over vijf","Kwart over vijf; Kwart over zes; Half zes; Kwart voor zes","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Kwart over vijf.",""
"LVL-0024","Marche","flightControls","Testbediening","flight-controls-slot-4","flight-controls-4a","true","7","30","Hoe laat is het?","Half acht","Half acht; Half negen; Kwart voor acht; Zeven uur","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Half acht.",""
"LVL-0024","Marche","flightControls","Testbediening","flight-controls-slot-4","flight-controls-4b","true","9","45","Welke tijd staat op de klok?","Kwart voor tien","Kwart voor tien; Kwart voor elf; Negen uur; Kwart over negen","multipleChoice","story","clock_reading","Clock","clock","none","","Kijk eerst naar de grote wijzer.","Gebruik daarna de kleine wijzer om het uur te vinden.","De wijzers tonen Kwart voor tien.",""
"LVL-0024","Marche","wingFrame","Vleugelframe","wing-frame-slot-1","wing-frame-1a","false","","","Op de vleugelsecties staan 7 groepjes van 2. Hoeveel zijn dat samen?","14","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","7","Zoek 7 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","7 × 2 = 14.",""
"LVL-0024","Marche","wingFrame","Vleugelframe","wing-frame-slot-1","wing-frame-1b","false","","","10 × 11 = ?","110","100; 110; 120; 130","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","10","Denk aan de tafel van 10.","Splits de keersom in twee makkelijke stukken.","10 × 11 = 110.",""
"LVL-0024","Marche","wingFrame","Vleugelframe","wing-frame-slot-2","wing-frame-2a","false","","","3 × 11 = ?","33","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","3","Denk aan de tafel van 3.","Splits de keersom in twee makkelijke stukken.","3 × 11 = 33.",""
"LVL-0024","Marche","wingFrame","Vleugelframe","wing-frame-slot-2","wing-frame-2b","false","","","27 : 9 = ?","3","2; 3; 4; 5","multipleChoice","bare","bare_division","Bare division, multiple choice","division","multiplication","9","Welke keersom hoort hier omgekeerd bij?","Zoek welk getal keer de deler het totaal maakt.","27 : 9 = 3, want 9 × 3 = 27.",""
"LVL-0024","Marche","wingFrame","Vleugelframe","wing-frame-slot-3","wing-frame-3a","false","","","Bij de vleugelsecties liggen 8 rijen met 4 delen. Hoeveel delen zijn dat samen?","32","24; 32; 40; 48","multipleChoice","story","story_multiplication","Story multiplication, multiple choice","multiplication","multiplication","8","Zoek 8 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","8 × 4 = 32.",""
"LVL-0024","Marche","wingFrame","Vleugelframe","wing-frame-slot-3","wing-frame-3b","false","","","Leonardo tekent 9 vakken met 6 lijnen per vak. Hoeveel lijnen tekent hij?","54","","open","story","story_multiplication","Story multiplication, open answer","multiplication","multiplication","9","Zoek 9 groepjes van hetzelfde aantal.","Maak er eerst een keersom van en reken die rustig uit.","9 × 6 = 54.",""
"LVL-0024","Marche","wingFrame","Vleugelframe","wing-frame-slot-4","wing-frame-4a","false","","","4 × 13 = ?","52","48; 52; 56; 60","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","4","Denk aan de tafel van 4.","Splits de keersom in twee makkelijke stukken.","4 × 13 = 52.",""
"LVL-0024","Marche","wingFrame","Vleugelframe","wing-frame-slot-4","wing-frame-4b","false","","","5 × 2 = ?","10","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","5","Denk aan de tafel van 5.","Splits de keersom in twee makkelijke stukken.","5 × 2 = 10.",""
"LVL-0025","Florence","perspectiveFrame","Perspectiefraam","perspective-frame-slot-1","perspective-frame-1a","false","","","6 × 11 = ?","66","60; 66; 72; 78","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","6","Denk aan de tafel van 6.","Splits de keersom in twee makkelijke stukken.","6 × 11 = 66.",""
"LVL-0025","Florence","perspectiveFrame","Perspectiefraam","perspective-frame-slot-1","perspective-frame-1b","false","","","7 × 12 = ?","84","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","7","Denk aan de tafel van 7.","Splits de keersom in twee makkelijke stukken.","7 × 12 = 84.",""
"LVL-0025","Florence","perspectiveFrame","Perspectiefraam","perspective-frame-slot-2","perspective-frame-2a","false","","","8 × 12 = ?","96","88; 96; 104; 112","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","8","Denk aan de tafel van 8.","Splits de keersom in twee makkelijke stukken.","8 × 12 = 96.",""
"LVL-0025","Florence","perspectiveFrame","Perspectiefraam","perspective-frame-slot-2","perspective-frame-2b","false","","","9 × 13 = ?","117","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","9","Denk aan de tafel van 9.","Splits de keersom in twee makkelijke stukken.","9 × 13 = 117.",""
"LVL-0025","Florence","perspectiveFrame","Perspectiefraam","perspective-frame-slot-3","perspective-frame-3a","false","","","2 × 13 = ?","26","24; 26; 28; 30","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","2","Denk aan de tafel van 2.","Splits de keersom in twee makkelijke stukken.","2 × 13 = 26.",""
"LVL-0025","Florence","perspectiveFrame","Perspectiefraam","perspective-frame-slot-3","perspective-frame-3b","false","","","10 × 2 = ?","20","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","10","Denk aan de tafel van 10.","Splits de keersom in twee makkelijke stukken.","10 × 2 = 20.",""
"LVL-0025","Florence","perspectiveFrame","Perspectiefraam","perspective-frame-slot-4","perspective-frame-4a","false","","","3 × 2 = ?","6","3; 6; 9; 12","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","3","Denk aan de tafel van 3.","Splits de keersom in twee makkelijke stukken.","3 × 2 = 6.",""
"LVL-0025","Florence","perspectiveFrame","Perspectiefraam","perspective-frame-slot-4","perspective-frame-4b","false","","","4 × 4 = ?","16","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","4","Denk aan de tafel van 4.","Splits de keersom in twee makkelijke stukken.","4 × 4 = 16.",""
"LVL-0025","Florence","geometricFloor","Geometrische vloer","geometric-floor-slot-1","geometric-floor-1a","false","","","5 × 4 = ?","20","15; 20; 25; 30","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","5","Denk aan de tafel van 5.","Splits de keersom in twee makkelijke stukken.","5 × 4 = 20.",""
"LVL-0025","Florence","geometricFloor","Geometrische vloer","geometric-floor-slot-1","geometric-floor-1b","false","","","6 × 5 = ?","30","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","6","Denk aan de tafel van 6.","Splits de keersom in twee makkelijke stukken.","6 × 5 = 30.",""
"LVL-0025","Florence","geometricFloor","Geometrische vloer","geometric-floor-slot-2","geometric-floor-2a","false","","","7 × 5 = ?","35","28; 35; 42; 49","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","7","Denk aan de tafel van 7.","Splits de keersom in twee makkelijke stukken.","7 × 5 = 35.",""
"LVL-0025","Florence","geometricFloor","Geometrische vloer","geometric-floor-slot-2","geometric-floor-2b","false","","","8 × 5 = ?","40","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","8","Denk aan de tafel van 8.","Splits de keersom in twee makkelijke stukken.","8 × 5 = 40.",""
"LVL-0025","Florence","geometricFloor","Geometrische vloer","geometric-floor-slot-3","geometric-floor-3a","false","","","9 × 5 = ?","45","36; 45; 54; 63","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","9","Denk aan de tafel van 9.","Splits de keersom in twee makkelijke stukken.","9 × 5 = 45.",""
"LVL-0025","Florence","geometricFloor","Geometrische vloer","geometric-floor-slot-3","geometric-floor-3b","false","","","2 × 6 = ?","12","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","2","Denk aan de tafel van 2.","Splits de keersom in twee makkelijke stukken.","2 × 6 = 12.",""
"LVL-0025","Florence","geometricFloor","Geometrische vloer","geometric-floor-slot-4","geometric-floor-4a","false","","","10 × 6 = ?","60","50; 60; 70; 80","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","10","Denk aan de tafel van 10.","Splits de keersom in twee makkelijke stukken.","10 × 6 = 60.",""
"LVL-0025","Florence","geometricFloor","Geometrische vloer","geometric-floor-slot-4","geometric-floor-4b","false","","","3 × 7 = ?","21","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","3","Denk aan de tafel van 3.","Splits de keersom in twee makkelijke stukken.","3 × 7 = 21.",""
"LVL-0025","Florence","pigmentTable","Pigmenttafel","pigment-table-slot-1","pigment-table-1a","false","","","4 × 2 = ?","8","4; 8; 12; 16","multipleChoice","bare","bare_multiplication","Bare multiplication, multiple choice","multiplication","multiplication","4","Denk aan de tafel van 4.","Splits de keersom in twee makkelijke stukken.","4 × 2 = 8.",""
"LVL-0025","Florence","pigmentTable","Pigmenttafel","pigment-table-slot-1","pigment-table-1b","false","","","5 × 5 = ?","25","","open","bare","bare_multiplication","Bare multiplication, open answer","multiplication","multiplication","5","Denk aan de tafel van 5.","Splits de keersom in twee makkelijke stukken.","5 × 5 = 25.",""
